 TIME                    	Front                    	Back                     	Left                     	Right                    	Bottom  
274	-4.178114	-4.178223	-4.274147	-4.274032	5.872730
275	-4.179928	-4.180037	-4.275987	-4.275872	5.871852
276	-4.181704	-4.181814	-4.277790	-4.277674	5.871014
277	-4.183448	-4.183557	-4.279559	-4.279443	5.870200
278	-4.185164	-4.185273	-4.281301	-4.281185	5.869422
279	-4.186830	-4.186940	-4.282993	-4.282877	5.868715
280	-4.188422	-4.188531	-4.284609	-4.284494	5.868112
281	-4.189988	-4.190097	-4.286201	-4.286086	5.867513
282	-4.191636	-4.191746	-4.287875	-4.287760	5.866803
283	-4.193386	-4.193495	-4.289651	-4.289535	5.866002
284	-4.195187	-4.195297	-4.291478	-4.291362	5.865153
285	-4.197006	-4.197115	-4.293322	-4.293206	5.864276
286	-4.198827	-4.198936	-4.295170	-4.295054	5.863380
287	-4.200647	-4.200756	-4.297016	-4.296900	5.862472
288	-4.202467	-4.202576	-4.298861	-4.298746	5.861550
289	-4.204293	-4.204402	-4.300713	-4.300598	5.860613
290	-4.206128	-4.206237	-4.302574	-4.302459	5.859659
291	-4.207971	-4.208080	-4.304444	-4.304328	5.858691
292	-4.209819	-4.209928	-4.306318	-4.306202	5.857712
293	-4.211669	-4.211778	-4.308193	-4.308078	5.856727
294	-4.213518	-4.213627	-4.310068	-4.309953	5.855736
295	-4.215365	-4.215475	-4.311941	-4.311826	5.854741
296	-4.217211	-4.217320	-4.313813	-4.313697	5.853744
297	-4.219054	-4.219163	-4.315681	-4.315566	5.852743
298	-4.220893	-4.221002	-4.317547	-4.317431	5.851756
299	-4.222629	-4.222738	-4.319308	-4.319193	5.850951
300	-4.224186	-4.224295	-4.320890	-4.320774	5.850332
301	-4.225670	-4.225780	-4.322399	-4.322284	5.849728
302	-4.227179	-4.227288	-4.323933	-4.323818	5.849101
303	-4.228729	-4.228838	-4.325508	-4.325393	5.848443
304	-4.230298	-4.230407	-4.327102	-4.326986	5.847799
305	-4.231885	-4.231994	-4.328714	-4.328599	5.847126
306	-4.233564	-4.233673	-4.330419	-4.330304	5.846321
307	-4.235350	-4.235460	-4.332231	-4.332116	5.845406
308	-4.237193	-4.237302	-4.334099	-4.333984	5.844427
